0.0,1.0,b0000000000000000,0,0.0,0,0
1.0,8.0,b0000000000000001,1,0.0625,0,2
2.0,8.0,b0000000000000010,1,0.0625,0,2
3.0,29.0,b0000000000000011,2,0.125,0,2
4.0,8.0,b0000000000000100,1,0.0625,0,2
5.0,29.0,b0000000000000101,2,0.125,0,4
6.0,29.0,b0000000000000110,2,0.125,0,2
7.0,64.0,b0000000000000111,3,0.1875,0,2
8.0,8.0,b0000000000001000,1,0.0625,0,2
9.0,29.0,b0000000000001001,2,0.125,0,4
10.0,29.0,b0000000000001010,2,0.125,0,4
11.0,64.0,b0000000000001011,3,0.1875,0,4
12.0,29.0,b0000000000001100,2,0.125,0,2
13.0,64.0,b0000000000001101,3,0.1875,0,4
14.0,64.0,b0000000000001110,3,0.1875,0,2
15.0,99.0,b0000000000001111,4,0.25,0,2
16.0,8.0,b0000000000010000,1,0.0625,0,2
17.0,29.0,b0000000000010001,2,0.125,0,4
18.0,29.0,b0000000000010010,2,0.125,0,4
19.0,64.0,b0000000000010011,3,0.1875,0,4
20.0,29.0,b0000000000010100,2,0.125,0,4
21.0,64.0,b0000000000010101,3,0.1875,0,6
22.0,64.0,b0000000000010110,3,0.1875,0,4
23.0,99.0,b0000000000010111,4,0.25,0,4
24.0,29.0,b0000000000011000,2,0.125,0,2
25.0,64.0,b0000000000011001,3,0.1875,0,4
26.0,64.0,b0000000000011010,3,0.1875,0,4
27.0,99.0,b0000000000011011,4,0.25,0,4
28.0,64.0,b0000000000011100,3,0.1875,0,2
29.0,99.0,b0000000000011101,4,0.25,0,4
30.0,99.0,b0000000000011110,4,0.25,0,2
31.0,120.0,b0000000000011111,5,0.3125,0,2
32.0,8.0,b0000000000100000,1,0.0625,0,2
33.0,29.0,b0000000000100001,2,0.125,0,4
34.0,29.0,b0000000000100010,2,0.125,0,4
35.0,64.0,b0000000000100011,3,0.1875,0,4
36.0,29.0,b0000000000100100,2,0.125,0,4
37.0,64.0,b0000000000100101,3,0.1875,0,6
38.0,64.0,b0000000000100110,3,0.1875,0,4
39.0,99.0,b0000000000100111,4,0.25,0,4
40.0,29.0,b0000000000101000,2,0.125,0,4
41.0,64.0,b0000000000101001,3,0.1875,0,6
42.0,64.0,b0000000000101010,3,0.1875,0,6
43.0,99.0,b0000000000101011,4,0.25,0,6
44.0,64.0,b0000000000101100,3,0.1875,0,4
45.0,99.0,b0000000000101101,4,0.25,0,6
46.0,99.0,b0000000000101110,4,0.25,0,4
47.0,120.0,b0000000000101111,5,0.3125,0,4
48.0,29.0,b0000000000110000,2,0.125,0,2
49.0,64.0,b0000000000110001,3,0.1875,0,4
50.0,64.0,b0000000000110010,3,0.1875,0,4
51.0,99.0,b0000000000110011,4,0.25,0,4
52.0,64.0,b0000000000110100,3,0.1875,0,4
53.0,99.0,b0000000000110101,4,0.25,0,6
54.0,99.0,b0000000000110110,4,0.25,0,4
55.0,120.0,b0000000000110111,5,0.3125,0,4
56.0,64.0,b0000000000111000,3,0.1875,0,2
57.0,99.0,b0000000000111001,4,0.25,0,4
58.0,99.0,b0000000000111010,4,0.25,0,4
59.0,120.0,b0000000000111011,5,0.3125,0,4
60.0,99.0,b0000000000111100,4,0.25,0,2
61.0,120.0,b0000000000111101,5,0.3125,0,4
62.0,120.0,b0000000000111110,5,0.3125,0,2
63.0,127.0,b0000000000111111,6,0.375,0,2
64.0,8.0,b0000000001000000,1,0.0625,0,2
65.0,29.0,b0000000001000001,2,0.125,0,4
66.0,29.0,b0000000001000010,2,0.125,0,4
67.0,64.0,b0000000001000011,3,0.1875,0,4
68.0,29.0,b0000000001000100,2,0.125,0,4
69.0,64.0,b0000000001000101,3,0.1875,0,6
70.0,64.0,b0000000001000110,3,0.1875,0,4
71.0,99.0,b0000000001000111,4,0.25,0,4
72.0,29.0,b0000000001001000,2,0.125,0,4
73.0,64.0,b0000000001001001,3,0.1875,0,6
74.0,64.0,b0000000001001010,3,0.1875,0,6
75.0,99.0,b0000000001001011,4,0.25,0,6
76.0,64.0,b0000000001001100,3,0.1875,0,4
77.0,99.0,b0000000001001101,4,0.25,0,6
78.0,99.0,b0000000001001110,4,0.25,0,4
79.0,120.0,b0000000001001111,5,0.3125,0,4
80.0,29.0,b0000000001010000,2,0.125,0,4
81.0,64.0,b0000000001010001,3,0.1875,0,6
82.0,64.0,b0000000001010010,3,0.1875,0,6
83.0,99.0,b0000000001010011,4,0.25,0,6
84.0,64.0,b0000000001010100,3,0.1875,0,6
85.0,99.0,b0000000001010101,4,0.25,0,8
86.0,99.0,b0000000001010110,4,0.25,0,6
87.0,120.0,b0000000001010111,5,0.3125,0,6
88.0,64.0,b0000000001011000,3,0.1875,0,4
89.0,99.0,b0000000001011001,4,0.25,0,6
90.0,99.0,b0000000001011010,4,0.25,0,6
91.0,120.0,b0000000001011011,5,0.3125,0,6
92.0,99.0,b0000000001011100,4,0.25,0,4
93.0,120.0,b0000000001011101,5,0.3125,0,6
94.0,120.0,b0000000001011110,5,0.3125,0,4
